evilz;Fun2C;evilz/Fun2C;.github/workflows/sonar.yml;sonar;false
fledge-power;fledgepower-filter-mvcyclingcheck;fledge-power/fledgepower-filter-mvcyclingcheck;.github/workflows/ci.yml;sonar;false
dvsa;cvs-svc-preparers;dvsa/cvs-svc-preparers;.github/workflows/pr-checks.yml;sonar;false
Foxlider;KAST;Foxlider/KAST;.github/workflows/sonar.yml;sonar;false
KinsonDigital;Velaptor;KinsonDigital/Velaptor;.github/workflows/sonar-scan-pr-status-check.yml;sonar;false
pavlepiramida;idb.Backend;pavlepiramida/idb.Backend;.github/workflows/build.yaml;sonar;false
stepansergeevitch;diploma2020;stepansergeevitch/diploma2020;.github/workflows/sonar.yml~;sonar;false
HerculesCRUE;HerculesED;HerculesCRUE/HerculesED;.github/workflows/dotnet_Hercules.ED.EditorCV.yml;sonar;false
paulegradie;Sailfish;paulegradie/Sailfish;.github/workflows/ci-cd.yml;sonar;false
arkuznetsov;iracli;arkuznetsov/iracli;.github/workflows/qa.yml;sonar;false
avides;alertmanager-overview;avides/alertmanager-overview;.github/workflows/nightly.yml;sonar;false
xcsf-dev;xcsf;xcsf-dev/xcsf;.github/workflows/sonarqube_build.yml;sonar;false
DaveWoo;Onion-architecture-ASP.NET-Core;DaveWoo/Onion-architecture-ASP.NET-Core;.github/workflows/build.yml.exclude;sonar;false
amg262;Onion-Arch;amg262/Onion-Arch;.github/workflows/build.yml.exclude;sonar;false
Lymosx;onion-arhitecture-demo;Lymosx/onion-arhitecture-demo;.github/workflows/build.yml.exclude;sonar;false
yonasayfu;onionArch;yonasayfu/onionArch;.github/workflows/build.yml.exclude;sonar;false
actions-marketplace-validations;philips-software_post-to-medium-action;actions-marketplace-validations/philips-software_post-to-medium-action;.github/workflows/sonar.yaml;sonar;false
Altinn;altinn-receipt;Altinn/altinn-receipt;.github/workflows/build-and-analyze.yml;sonar;false
Handlebars-Net;Handlebars.Net.Extension.NewtonsoftJson;Handlebars-Net/Handlebars.Net.Extension.NewtonsoftJson;.github/workflows/pull_request.yml;sonar;false
OpenCyphal-Garage;libcyphal;OpenCyphal-Garage/libcyphal;.github/workflows/sonar.yml;sonar;false
darktable-org;rawspeed;darktable-org/rawspeed;.github/workflows/CI-linux.yml;sonar;false
vanessa-opensource;vanessa-runner;vanessa-opensource/vanessa-runner;.github/workflows/qa.yml;sonar;false
bi-zone;masscan-ng;bi-zone/masscan-ng;.github/workflows/main.yml;sonar;false
CsSimConnect;CsSimConnect;CsSimConnect/CsSimConnect;.github/workflows/build.yml;sonar;false
polterguy;magic.io;polterguy/magic.io;.github/workflows/build.yaml;sonar;false
WoWs-Builder-Team;DataConverter;WoWs-Builder-Team/DataConverter;.github/workflows/sonar-code-analysis.yml;sonar;false
TekuSP;OpenHalo;TekuSP/OpenHalo;.github/workflows/nanoframework_build.yml;sonar;false
RexTremendae;Paraclete;RexTremendae/Paraclete;.github/workflows/dotnet.yml;sonar;false
vikramlearning;blazorbootstrap;vikramlearning/blazorbootstrap;.github/workflows/sonar.yml;sonar;false
W1ngshot;Actions-test;W1ngshot/Actions-test;.github/workflows/sonarqube.yml;sonar;false
andrebarsotti;generic-config-sample-api;andrebarsotti/generic-config-sample-api;.github/workflows/github-actions-ci.yml;sonar;false
BME-MIT-IET;iet-hf2021-sparba-qlene-sietni;BME-MIT-IET/iet-hf2021-sparba-qlene-sietni;.github/workflows/build.yml;sonar;false
FowApps;IronHook;FowApps/IronHook;.github/workflows/sonarcloud.yml;sonar;false
kjetand;uxx;kjetand/uxx;.github/workflows/build.yml;sonar;false
ignatandrei;TILT;ignatandrei/TILT;.github/workflows/integrations.yml;sonar;false
brent-runyan-snkeos;fusselfrei;brent-runyan-snkeos/fusselfrei;.github/workflows/ci.yaml;sonar;false
MILL5;EoDData.Net;MILL5/EoDData.Net;.github/workflows/buildTest.yml;sonar;false
stho32;M001-WebApp-X-CSharp-001;stho32/M001-WebApp-X-CSharp-001;.github/workflows/sonar.yml;sonar;false
Bwan109;Sonar-ASPNETWEBFORM;Bwan109/Sonar-ASPNETWEBFORM;.github/workflows/net.yaml;sonar;false
GuinsooLab;darkseal;GuinsooLab/darkseal;.github/workflows/yarn-coverage.yml;sonar;false
FelipeFabricio;WonderFood.Producao;FelipeFabricio/WonderFood.Producao;.github/workflows/ci-cd-pipeline.yml;sonar;false
theomenden;TheOmenDen.EventStore;theomenden/TheOmenDen.EventStore;.github/workflows/sonarcloud.yml;sonar;false
Informatievlaanderen;address-registry;Informatievlaanderen/address-registry;.github/workflows/build.yml;sonar;false
surenganne;OpenMetadata-1.2.0;surenganne/OpenMetadata-1.2.0;.github/workflows/yarn-coverage.yml;sonar;false
EmiliasOrganization;Webshop;EmiliasOrganization/Webshop;.github/workflows/sonarqube.yml;sonar;false
Giloc;Blockchain-unity;Giloc/Blockchain-unity;.github/workflows/build.yml;sonar;false
hermanussen;MockSourceGenerator;hermanussen/MockSourceGenerator;.github/workflows/sonarbuild.yml;sonar;false
nils-org;fluentcamlgen;nils-org/fluentcamlgen;.github/workflows/sonarcloud-analysis.yml;sonar;false
TryAtSoftware;Randomizer;TryAtSoftware/Randomizer;.github/workflows/Core validation.yml;sonar;false
cboiam;ImplementationDiscovery;cboiam/ImplementationDiscovery;.github/workflows/quality.yml;sonar;false
bmonkaba;ERISCore;bmonkaba/ERISCore;.github/workflows/build.yml;sonar;false
HerculesCRUE;HerculesED;HerculesCRUE/HerculesED;.github/workflows/dotnet_Hercules.ED.Synchronization.yml;sonar;false
fcallea;DDD_Vuelos;fcallea/DDD_Vuelos;.github/workflows/dotnet.yml;sonar;false
ricardotill;SSSKLv2;ricardotill/SSSKLv2;.github/workflows/dotnet.yml;sonar;false
jeffogata;github-cicd-dotnet-1;jeffogata/github-cicd-dotnet-1;.github/workflows/dotnet.yml;sonar;false
Hejle;ASPWebshop;Hejle/ASPWebshop;.github/workflows/dotnet.yml;sonar;false
Agile-Waterfall;flooq;Agile-Waterfall/flooq;.github/workflows/ci.api.yml;sonar;false
ismkdc;Centrifugo.AspNetCore;ismkdc/Centrifugo.AspNetCore;.github/workflows/build.yml;sonar;false
Simplicitdk;HelloWorld;Simplicitdk/HelloWorld;.github/workflows/build.yml;sonar;false
chrisfcarroll;ActivateAnything;chrisfcarroll/ActivateAnything;.github/workflows/sonarcloud-analyse.yml;sonar;false
minhdtb;minmin;minhdtb/minmin;.github/workflows/analyzeBranch.yml;sonar;false
amelie-renard-sonarsource;gh-actions-sq;amelie-renard-sonarsource/gh-actions-sq;.github/workflows/main.yml;sonar;false
philips-software;amp-preview;philips-software/amp-preview;.github/workflows/static-analysis.yml;sonar;false
HerculesCRUE;Commons-ED-MA;HerculesCRUE/Commons-ED-MA;.github/workflows/dotnet_Hercules.CommonsEDMA.Harvester.yml;sonar;false
equipognoss;Gnoss.Commons.OpenCORE;equipognoss/Gnoss.Commons.OpenCORE;.github/workflows/Sonar.yml;sonar;false
Buduf;PTI-Ear-Trainer;Buduf/PTI-Ear-Trainer;.github/workflows/ci.yml;sonar;false
Error0229;110_2_APPD;Error0229/110_2_APPD;.github/workflows/dotnet-desktop.yml;sonar;false
nelson-tests;test-repo;nelson-tests/test-repo;.github/workflows/sonarcloud.yml;sonar;false
joost-van-dam;SOFA3_AvansDevOps;joost-van-dam/SOFA3_AvansDevOps;.github/workflows/pipeline.yml;sonar;false
merlot-education;PdfService;merlot-education/PdfService;.github/workflows/qa.yaml;sonar;false
baking-bad;tzkt;baking-bad/tzkt;.github/workflows/build.yml;sonar;false
Dr-GG;tenjin;Dr-GG/tenjin;.github/workflows/sonarcloud.yml;sonar;false
bart-donders;test;bart-donders/test;.github/workflows/sonarcloud.yml;sonar;false
The-Poolz;KYC.API.Proxy;The-Poolz/KYC.API.Proxy;.github/workflows/sonarcloud.yml;sonar;false
SwarupaPedapalli;FitnessTrack;SwarupaPedapalli/FitnessTrack;.github/workflows/sonar.yml;sonar;false
Project-Quizz;Project_Quizz_Frontend;Project-Quizz/Project_Quizz_Frontend;.github/workflows/sonar_cloud.yml;sonar;false
tmatt95;ProjectSpeedy;tmatt95/ProjectSpeedy;.github/workflows/build.yml;sonar;false
JosseLardinois;FollowerService;JosseLardinois/FollowerService;.github/workflows/build.yml;sonar;false
BuiHuyPhuoc;Data-Structure-and-Algorithm;BuiHuyPhuoc/Data-Structure-and-Algorithm;.github/workflows/build.yaml;sonar;false
dszondy;IceCreamLogistics;dszondy/IceCreamLogistics;.github/workflows/sonar.yml;sonar;false
christophe-havard-sonarsource;DotNetCore-1;christophe-havard-sonarsource/DotNetCore-1;.github/workflows/dotnet.yml;sonar;false
emidiomorgia;time-tide-dotnet;emidiomorgia/time-tide-dotnet;.github/workflows/identity-build.yml;sonar;false
eduwardpost;uActivityPub;eduwardpost/uActivityPub;.github/workflows/publish-nuget.yml;sonar;false
acrolinx;acrolinx-sidebar-demo-dotnet;acrolinx/acrolinx-sidebar-demo-dotnet;.github/workflows/dotnet-desktop.yml;sonar;false
NoahKeijzerAvans;GitBug;NoahKeijzerAvans/GitBug;.github/workflows/sonarcloud.yml;sonar;false
theomenden;TheOmenDen.Shared;theomenden/TheOmenDen.Shared;.github/workflows/sonarcloud.yml;sonar;false
renanrcr;TechChallenge;renanrcr/TechChallenge;.github/workflows/pipeline_dotnet.yml;sonar;false
getrojob;CleanArch;getrojob/CleanArch;.github/workflows/pull-request-sonar.yml;sonar;false
TijmenC;doozy;TijmenC/doozy;.github/workflows/sonarcloud.yml;sonar;false
kyng-rb;LoanManager;kyng-rb/LoanManager;.github/workflows/build.yml;sonar;false
jeangatto;ASP.NET-Core-Clean-Architecture-CQRS-Event-Sourcing;jeangatto/ASP.NET-Core-Clean-Architecture-CQRS-Event-Sourcing;.github/workflows/sonar-cloud.yml;sonar;false
PostalMike;PSCIDemoRepo;PostalMike/PSCIDemoRepo;.github/workflows/sonarcloud.yml;sonar;false
stjordanis;magic.lambda.config;stjordanis/magic.lambda.config;.github/workflows/build.yaml;sonar;false
andrealonsosilva;repoteste;andrealonsosilva/repoteste;.github/workflows/build.yml;sonar;false
jshoyos;soen390-team01;jshoyos/soen390-team01;.github/workflows/buildandtest.yml;sonar;false
jonathansimonsa;airline-ms-checkin;jonathansimonsa/airline-ms-checkin;.github/workflows/dotnet.yml;sonar;false
